Taverna,132057,30.265016497,-97.746498585
Stubb's Bar-B-Q,1747838,30.268658759,-97.736044799
Molotov West Sixth,77083,30.270100564,-97.750489954
Kung Fu Saloon,207226,30.269366607,-97.749805559
Shangri-La,255111,30.265059,-97.73156045
Covert Park at Mt. Bonnell,92316,30.321118576,-97.773481607
The Oasis on Lake Travis,48941,30.40547057,-97.874557972
"6th Street (Austin, TX)",92783416,30.267308169,-97.739726096
